,Max Temperature In  C
O18:Capacity Planning27,25.12
O18:Capacity Planning28,25.12
O18:Capacity Planning29,25.12
O18:Capacity Planning30,25.12
O18:Capacity Planning31,25.12
O18:Capacity Planning32,25.12
O18:Capacity Planning33,25.12
O18:Capacity Planning34,25.12
O18:Capacity Planning35,25.12
O18:Capacity Planning36,25.12
O18:Capacity Planning37,25.12
O18:Capacity Planning38,25.12
O18:Capacity Planning39,25.12
O18:Capacity Planning40,25.12
O18:Capacity Planning41,25.12
O18:Capacity Planning42,25.12
O19:Capacity Planning0,25.1
O19:Capacity Planning1,25.1
O19:Capacity Planning2,25.11
O19:Capacity Planning3,25.11
O19:Capacity Planning4,25.11
O19:Capacity Planning5,25.12
O19:Capacity Planning6,25.12
O19:Capacity Planning7,25.12
O19:Capacity Planning8,25.12
O19:Capacity Planning9,25.12
O19:Capacity Planning10,25.12
O19:Capacity Planning11,25.13
O19:Capacity Planning12,25.13
O19:Capacity Planning13,25.13
O19:Capacity Planning14,25.13
O19:Capacity Planning15,25.13
O19:Capacity Planning16,25.13
O19:Capacity Planning17,25.13
O19:Capacity Planning18,25.13
O19:Capacity Planning19,25.13
O19:Capacity Planning20,25.14
O19:Capacity Planning21,25.14
O19:Capacity Planning22,25.14
O19:Capacity Planning23,25.14
O19:Capacity Planning24,25.14
O19:Capacity Planning25,25.14
O19:Capacity Planning26,25.14
O19:Capacity Planning27,25.15
O19:Capacity Planning28,25.15
O19:Capacity Planning29,25.15
O19:Capacity Planning30,25.15
O19:Capacity Planning31,25.15
O19:Capacity Planning32,25.16
O19:Capacity Planning33,25.16
O19:Capacity Planning34,25.17
O19:Capacity Planning35,25.17
O19:Capacity Planning36,25.17
O19:Capacity Planning37,25.17
O19:Capacity Planning38,25.18
O19:Capacity Planning39,25.18
O19:Capacity Planning40,25.18
O19:Capacity Planning41,25.22
O19:Capacity Planning42,25.22
O21:Capacity Planning0,25.12
O21:Capacity Planning1,25.12
O21:Capacity Planning2,25.12
O21:Capacity Planning3,25.12
O21:Capacity Planning4,25.12
O21:Capacity Planning5,25.13
O21:Capacity Planning6,25.13
O21:Capacity Planning7,25.13
O21:Capacity Planning8,25.13
O21:Capacity Planning9,25.12
O21:Capacity Planning10,25.12
O21:Capacity Planning11,25.12
O21:Capacity Planning12,25.12
O21:Capacity Planning13,25.12
O21:Capacity Planning14,25.12
O21:Capacity Planning15,25.12
O21:Capacity Planning16,25.12
O21:Capacity Planning17,25.12
O21:Capacity Planning18,25.13
O21:Capacity Planning19,25.13
O21:Capacity Planning20,25.13
O21:Capacity Planning21,25.13
O21:Capacity Planning22,25.13
O21:Capacity Planning23,25.14
O21:Capacity Planning24,25.14
O21:Capacity Planning25,25.14
O21:Capacity Planning26,25.14
O21:Capacity Planning27,25.15
O21:Capacity Planning28,25.15
O21:Capacity Planning29,25.15
O21:Capacity Planning30,25.15
O21:Capacity Planning31,25.15
O21:Capacity Planning32,25.16
O21:Capacity Planning33,25.16
O21:Capacity Planning34,25.17
O21:Capacity Planning35,25.17
O21:Capacity Planning36,25.17
O21:Capacity Planning37,25.17
O21:Capacity Planning38,25.18
O21:Capacity Planning39,25.18
O21:Capacity Planning40,25.18
O21:Capacity Planning41,25.2
O21:Capacity Planning42,25.2
O22:Capacity Planning0,25.14
O22:Capacity Planning1,25.14
O22:Capacity Planning2,25.13
O22:Capacity Planning3,25.13
O22:Capacity Planning4,25.13
O22:Capacity Planning5,25.13
O22:Capacity Planning6,25.13
O22:Capacity Planning7,25.14
O22:Capacity Planning8,25.14
O22:Capacity Planning9,25.13
O22:Capacity Planning10,25.13
O22:Capacity Planning11,25.13
O22:Capacity Planning12,25.13
O22:Capacity Planning13,25.13
O22:Capacity Planning14,25.13
O22:Capacity Planning15,25.13
O22:Capacity Planning16,25.13
O22:Capacity Planning17,25.13
O22:Capacity Planning18,25.13
O22:Capacity Planning19,25.13
O22:Capacity Planning20,25.13
O22:Capacity Planning21,25.13
O22:Capacity Planning22,25.13
O22:Capacity Planning23,25.12
O22:Capacity Planning24,25.12
O22:Capacity Planning25,25.12
O22:Capacity Planning26,25.12
O22:Capacity Planning27,25.12
O22:Capacity Planning28,25.12
O22:Capacity Planning29,25.12
O22:Capacity Planning30,25.12
O22:Capacity Planning31,25.12
O22:Capacity Planning32,25.12
O22:Capacity Planning33,25.12
O22:Capacity Planning34,25.13
O22:Capacity Planning35,25.13
O22:Capacity Planning36,25.13
O22:Capacity Planning37,25.13
O22:Capacity Planning38,25.14
O22:Capacity Planning39,25.14
O22:Capacity Planning40,25.14
O22:Capacity Planning41,25.15
O22:Capacity Planning42,25.15
R12:Capacity Planning0,25.12
R12:Capacity Planning1,25.12
R12:Capacity Planning2,25.12
R12:Capacity Planning3,25.12
R12:Capacity Planning4,25.12
R12:Capacity Planning5,25.12
R12:Capacity Planning6,25.12
R12:Capacity Planning7,25.13
R12:Capacity Planning8,25.13
R12:Capacity Planning9,25.13
R12:Capacity Planning10,25.13
R12:Capacity Planning11,25.13
R12:Capacity Planning12,25.13
R12:Capacity Planning13,25.13
R12:Capacity Planning14,25.13
R12:Capacity Planning15,25.13
R12:Capacity Planning16,25.13
R12:Capacity Planning17,25.13
R12:Capacity Planning18,25.12
R12:Capacity Planning19,25.12
R12:Capacity Planning20,25.12
R12:Capacity Planning21,25.12
R12:Capacity Planning22,25.12
R12:Capacity Planning23,25.12
R12:Capacity Planning24,25.12
R12:Capacity Planning25,25.12
R12:Capacity Planning26,25.12
R12:Capacity Planning27,25.12
R12:Capacity Planning28,25.12
R12:Capacity Planning29,25.12
R12:Capacity Planning30,25.12
R12:Capacity Planning31,25.12
R12:Capacity Planning32,25.12
R12:Capacity Planning33,25.12
R12:Capacity Planning34,25.12
R12:Capacity Planning35,25.12
R12:Capacity Planning36,25.13
R12:Capacity Planning37,25.13
R12:Capacity Planning38,25.13
R12:Capacity Planning39,25.13
R12:Capacity Planning40,25.13
R12:Capacity Planning41,25.14
R12:Capacity Planning42,25.14
R13:Capacity Planning0,25.1
R13:Capacity Planning1,25.1
R13:Capacity Planning2,25.1
R13:Capacity Planning3,25.1
R13:Capacity Planning4,25.1
R13:Capacity Planning5,25.11
R13:Capacity Planning6,25.11
R13:Capacity Planning7,25.12
R13:Capacity Planning8,25.12
R13:Capacity Planning9,25.12
R13:Capacity Planning10,25.12
R13:Capacity Planning11,25.12
R13:Capacity Planning12,25.12
R13:Capacity Planning13,25.12
R13:Capacity Planning14,25.12
R13:Capacity Planning15,25.12
R13:Capacity Planning16,25.12
R13:Capacity Planning17,25.12
R13:Capacity Planning18,25.12
R13:Capacity Planning19,25.12
R13:Capacity Planning20,25.13
R13:Capacity Planning21,25.13
R13:Capacity Planning22,25.13
R13:Capacity Planning23,25.13
R13:Capacity Planning24,25.13
R13:Capacity Planning25,25.13
R13:Capacity Planning26,25.13
R13:Capacity Planning27,25.14
R13:Capacity Planning28,25.14
R13:Capacity Planning29,25.14
R13:Capacity Planning30,25.14
R13:Capacity Planning31,25.14
R13:Capacity Planning32,25.15
R13:Capacity Planning33,25.15
R13:Capacity Planning34,25.15
R13:Capacity Planning35,25.15
R13:Capacity Planning36,25.16
R13:Capacity Planning37,25.16
R13:Capacity Planning38,25.16
R13:Capacity Planning39,25.16
R13:Capacity Planning40,25.16
R13:Capacity Planning41,25.18
R13:Capacity Planning42,25.18
R14:Capacity Planning0,25.09
R14:Capacity Planning1,25.09
R14:Capacity Planning2,25.1
R14:Capacity Planning3,25.1
R14:Capacity Planning4,25.1
R14:Capacity Planning5,25.11
R14:Capacity Planning6,25.11
R14:Capacity Planning7,25.11
R14:Capacity Planning8,25.11
R14:Capacity Planning9,25.12
R14:Capacity Planning10,25.12
R14:Capacity Planning11,25.12
R14:Capacity Planning12,25.12
R14:Capacity Planning13,25.12
R14:Capacity Planning14,25.12
R14:Capacity Planning15,25.12
R14:Capacity Planning16,25.13
R14:Capacity Planning17,25.13
R14:Capacity Planning18,25.13
R14:Capacity Planning19,25.13
R14:Capacity Planning20,25.13
R14:Capacity Planning21,25.13
R14:Capacity Planning22,25.13
R14:Capacity Planning23,25.14
R14:Capacity Planning24,25.14
R14:Capacity Planning25,25.15
R14:Capacity Planning26,25.15
R14:Capacity Planning27,25.15
R14:Capacity Planning28,25.15
R14:Capacity Planning29,25.16
R14:Capacity Planning30,25.16
R14:Capacity Planning31,25.16
R14:Capacity Planning32,25.17
R14:Capacity Planning33,25.17
R14:Capacity Planning34,25.18
R14:Capacity Planning35,25.18
R14:Capacity Planning36,25.19
R14:Capacity Planning37,25.19
R14:Capacity Planning38,25.2
R14:Capacity Planning39,25.2
R14:Capacity Planning40,25.2
R14:Capacity Planning41,25.22
R14:Capacity Planning42,25.22
R16:Capacity Planning0,25.08
R16:Capacity Planning1,25.08
R16:Capacity Planning2,25.08
R16:Capacity Planning3,25.08
R16:Capacity Planning4,25.08
R16:Capacity Planning5,25.09
R16:Capacity Planning6,25.09
R16:Capacity Planning7,25.09
R16:Capacity Planning8,25.09
R16:Capacity Planning9,25.1
R16:Capacity Planning10,25.1
R16:Capacity Planning11,25.1
R16:Capacity Planning12,25.1
R16:Capacity Planning13,25.1
R16:Capacity Planning14,25.11
R16:Capacity Planning15,25.11
R16:Capacity Planning16,25.11
R16:Capacity Planning17,25.11
R16:Capacity Planning18,25.11
R16:Capacity Planning19,25.11
R16:Capacity Planning20,25.12
R16:Capacity Planning21,25.12
R16:Capacity Planning22,25.12
R16:Capacity Planning23,25.12
R16:Capacity Planning24,25.12
R16:Capacity Planning25,25.13
