,Max Temperature In  C
O18:Capacity Planning27,25.29
O18:Capacity Planning28,25.29
O18:Capacity Planning29,25.3
O18:Capacity Planning30,25.3
O18:Capacity Planning31,25.3
O18:Capacity Planning32,25.31
O18:Capacity Planning33,25.31
O18:Capacity Planning34,25.32
O18:Capacity Planning35,25.32
O18:Capacity Planning36,25.33
O18:Capacity Planning37,25.33
O18:Capacity Planning38,25.34
O18:Capacity Planning39,25.34
O18:Capacity Planning40,25.34
O18:Capacity Planning41,25.34
O18:Capacity Planning42,25.34
O19:Capacity Planning0,25.21
O19:Capacity Planning1,25.21
O19:Capacity Planning2,25.22
O19:Capacity Planning3,25.22
O19:Capacity Planning4,25.22
O19:Capacity Planning5,25.23
O19:Capacity Planning6,25.23
O19:Capacity Planning7,25.24
O19:Capacity Planning8,25.24
O19:Capacity Planning9,25.25
O19:Capacity Planning10,25.25
O19:Capacity Planning11,25.25
O19:Capacity Planning12,25.25
O19:Capacity Planning13,25.25
O19:Capacity Planning14,25.26
O19:Capacity Planning15,25.26
O19:Capacity Planning16,25.27
O19:Capacity Planning17,25.27
O19:Capacity Planning18,25.28
O19:Capacity Planning19,25.28
O19:Capacity Planning20,25.28
O19:Capacity Planning21,25.28
O19:Capacity Planning22,25.28
O19:Capacity Planning23,25.29
O19:Capacity Planning24,25.29
O19:Capacity Planning25,25.29
O19:Capacity Planning26,25.29
O19:Capacity Planning27,25.3
O19:Capacity Planning28,25.3
O19:Capacity Planning29,25.31
O19:Capacity Planning30,25.31
O19:Capacity Planning31,25.31
O19:Capacity Planning32,25.32
O19:Capacity Planning33,25.32
O19:Capacity Planning34,25.34
O19:Capacity Planning35,25.34
O19:Capacity Planning36,25.36
O19:Capacity Planning37,25.36
O19:Capacity Planning38,25.38
O19:Capacity Planning39,25.38
O19:Capacity Planning40,25.38
O19:Capacity Planning41,25.45
O19:Capacity Planning42,25.45
O21:Capacity Planning0,25.21
O21:Capacity Planning1,25.21
O21:Capacity Planning2,25.22
O21:Capacity Planning3,25.22
O21:Capacity Planning4,25.22
O21:Capacity Planning5,25.22
O21:Capacity Planning6,25.22
O21:Capacity Planning7,25.23
O21:Capacity Planning8,25.23
O21:Capacity Planning9,25.24
O21:Capacity Planning10,25.24
O21:Capacity Planning11,25.24
O21:Capacity Planning12,25.24
O21:Capacity Planning13,25.24
O21:Capacity Planning14,25.24
O21:Capacity Planning15,25.24
O21:Capacity Planning16,25.24
O21:Capacity Planning17,25.24
O21:Capacity Planning18,25.24
O21:Capacity Planning19,25.24
O21:Capacity Planning20,25.24
O21:Capacity Planning21,25.24
O21:Capacity Planning22,25.24
O21:Capacity Planning23,25.24
O21:Capacity Planning24,25.24
O21:Capacity Planning25,25.25
O21:Capacity Planning26,25.25
O21:Capacity Planning27,25.26
O21:Capacity Planning28,25.26
O21:Capacity Planning29,25.27
O21:Capacity Planning30,25.27
O21:Capacity Planning31,25.27
O21:Capacity Planning32,25.28
O21:Capacity Planning33,25.28
O21:Capacity Planning34,25.29
O21:Capacity Planning35,25.29
O21:Capacity Planning36,25.31
O21:Capacity Planning37,25.31
O21:Capacity Planning38,25.33
O21:Capacity Planning39,25.33
O21:Capacity Planning40,25.33
O21:Capacity Planning41,25.36
O21:Capacity Planning42,25.36
O22:Capacity Planning0,25.21
O22:Capacity Planning1,25.21
O22:Capacity Planning2,25.21
O22:Capacity Planning3,25.21
O22:Capacity Planning4,25.21
O22:Capacity Planning5,25.21
O22:Capacity Planning6,25.21
O22:Capacity Planning7,25.21
O22:Capacity Planning8,25.21
O22:Capacity Planning9,25.21
O22:Capacity Planning10,25.21
O22:Capacity Planning11,25.21
O22:Capacity Planning12,25.21
O22:Capacity Planning13,25.21
O22:Capacity Planning14,25.22
O22:Capacity Planning15,25.22
O22:Capacity Planning16,25.22
O22:Capacity Planning17,25.22
O22:Capacity Planning18,25.22
O22:Capacity Planning19,25.22
O22:Capacity Planning20,25.22
O22:Capacity Planning21,25.22
O22:Capacity Planning22,25.22
O22:Capacity Planning23,25.22
O22:Capacity Planning24,25.22
O22:Capacity Planning25,25.22
O22:Capacity Planning26,25.22
O22:Capacity Planning27,25.23
O22:Capacity Planning28,25.23
O22:Capacity Planning29,25.23
O22:Capacity Planning30,25.23
O22:Capacity Planning31,25.23
O22:Capacity Planning32,25.24
O22:Capacity Planning33,25.24
O22:Capacity Planning34,25.25
O22:Capacity Planning35,25.25
O22:Capacity Planning36,25.26
O22:Capacity Planning37,25.26
O22:Capacity Planning38,25.28
O22:Capacity Planning39,25.28
O22:Capacity Planning40,25.28
O22:Capacity Planning41,25.31
O22:Capacity Planning42,25.31
R12:Capacity Planning0,25.36
R12:Capacity Planning1,25.36
R12:Capacity Planning2,25.36
R12:Capacity Planning3,25.36
R12:Capacity Planning4,25.36
R12:Capacity Planning5,25.36
R12:Capacity Planning6,25.36
R12:Capacity Planning7,25.37
R12:Capacity Planning8,25.37
R12:Capacity Planning9,25.36
R12:Capacity Planning10,25.36
R12:Capacity Planning11,25.35
R12:Capacity Planning12,25.35
R12:Capacity Planning13,25.35
R12:Capacity Planning14,25.34
R12:Capacity Planning15,25.34
R12:Capacity Planning16,25.33
R12:Capacity Planning17,25.33
R12:Capacity Planning18,25.33
R12:Capacity Planning19,25.33
R12:Capacity Planning20,25.33
R12:Capacity Planning21,25.33
R12:Capacity Planning22,25.33
R12:Capacity Planning23,25.34
R12:Capacity Planning24,25.34
R12:Capacity Planning25,25.34
R12:Capacity Planning26,25.34
R12:Capacity Planning27,25.36
R12:Capacity Planning28,25.36
R12:Capacity Planning29,25.38
R12:Capacity Planning30,25.38
R12:Capacity Planning31,25.38
R12:Capacity Planning32,25.4
R12:Capacity Planning33,25.4
R12:Capacity Planning34,25.44
R12:Capacity Planning35,25.44
R12:Capacity Planning36,25.49
R12:Capacity Planning37,25.49
R12:Capacity Planning38,25.55
R12:Capacity Planning39,25.55
R12:Capacity Planning40,25.55
R12:Capacity Planning41,25.6
R12:Capacity Planning42,25.6
R13:Capacity Planning0,25.2
R13:Capacity Planning1,25.2
R13:Capacity Planning2,25.22
R13:Capacity Planning3,25.22
R13:Capacity Planning4,25.22
R13:Capacity Planning5,25.26
R13:Capacity Planning6,25.26
R13:Capacity Planning7,25.31
R13:Capacity Planning8,25.31
R13:Capacity Planning9,25.34
R13:Capacity Planning10,25.34
R13:Capacity Planning11,25.35
R13:Capacity Planning12,25.35
R13:Capacity Planning13,25.35
R13:Capacity Planning14,25.35
R13:Capacity Planning15,25.35
R13:Capacity Planning16,25.35
R13:Capacity Planning17,25.35
R13:Capacity Planning18,25.36
R13:Capacity Planning19,25.36
R13:Capacity Planning20,25.37
R13:Capacity Planning21,25.37
R13:Capacity Planning22,25.37
R13:Capacity Planning23,25.39
R13:Capacity Planning24,25.39
R13:Capacity Planning25,25.41
R13:Capacity Planning26,25.41
R13:Capacity Planning27,25.42
R13:Capacity Planning28,25.42
R13:Capacity Planning29,25.44
R13:Capacity Planning30,25.44
R13:Capacity Planning31,25.44
R13:Capacity Planning32,25.45
R13:Capacity Planning33,25.45
R13:Capacity Planning34,25.47
R13:Capacity Planning35,25.47
R13:Capacity Planning36,25.49
R13:Capacity Planning37,25.49
R13:Capacity Planning38,25.52
R13:Capacity Planning39,25.52
R13:Capacity Planning40,25.52
R13:Capacity Planning41,25.56
R13:Capacity Planning42,25.56
R14:Capacity Planning0,25.17
R14:Capacity Planning1,25.17
R14:Capacity Planning2,25.19
R14:Capacity Planning3,25.19
R14:Capacity Planning4,25.19
R14:Capacity Planning5,25.23
R14:Capacity Planning6,25.23
R14:Capacity Planning7,25.28
R14:Capacity Planning8,25.28
R14:Capacity Planning9,25.31
R14:Capacity Planning10,25.31
R14:Capacity Planning11,25.33
R14:Capacity Planning12,25.33
R14:Capacity Planning13,25.33
R14:Capacity Planning14,25.35
